,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
699,200911150rai,-1,-1,10,2009,-6,2.5,,0.33673954,,,,0,0.33673954
700,200911220jax,-1,1,11,2009,3,8.0,0.7699269,0.6895635999999999,,,0.7643883,1,0.7643883
701,200910180nyj,-1,-1,6,2009,-3,9.5,,,,0.8927139000000001,0.82665884,0,0.85968637
702,200910250car,-1,-1,7,2009,-11,7.0,0.99407154,1.0169069,0.3590962,0.35058746,,0,0.67658387
703,200910040mia,1,1,4,2009,28,1.5,0.22086444,,,,0.29629815,1,0.258581295
704,201510040chi,1,1,4,2015,2,3.0,,0.46856034,,0.255365,0.5879906,1,0.46856034
705,201511220det,1,1,11,2015,5,1.5,,0.3903938,,,0.43571055,1,0.413052175
706,201511080pit,-1,1,9,2015,3,6.0,,0.6490479,,0.72401834,,1,0.68653312
707,201601030kan,-1,1,17,2015,6,7.0,0.6450281,,0.78308785,0.77032864,,1,0.77032864
708,201512130den,-1,-1,14,2015,-3,6.0,,,,,0.69840735,0,0.69840735
709,201509270cle,-1,-1,3,2015,-7,3.5,,,,0.8927136,,0,0.8927136
710,201511290oti,-1,-1,12,2015,-3,1.0,,0.55078685,0.33451855,,0.42577076,0,0.42577076
711,201512060sdg,-1,-1,13,2015,-14,6.0,0.16220522,,,,,0,0.16220522
712,201509270det,-1,-1,3,2015,-12,3.0,0.25957337,0.42654347,,,,0,0.34305842
713,201512200pit,-1,1,15,2015,7,7.5,1.0167019,,,,0.7081853,1,0.8624436
714,201509170kan,-1,-1,2,2015,-7,3.0,0.72562987,,0.7779951999999999,0.35230082,,0,0.72562987
715,201511080clt,1,1,9,2015,3,3.0,,0.22666538,0.30436042,,0.49894005,1,0.30436042
716,201510110rai,-1,-1,5,2015,-6,5.5,,,0.44308624,,0.6501321999999999,0,0.54660922
783,201101020sea,1,1,17,2010,10,3.0,0.6699710999999999,0.34647948,,,,1,0.5082252899999999
784,201012050crd,-1,-1,13,2010,-13,3.0,,0.60042757,,0.12713307,,0,0.36378032
785,201011280den,-1,-1,12,2010,-3,3.0,,0.75696886,0.33553377,,0.87358594,0,0.75696886
786,201010100det,1,1,5,2010,38,3.0,0.556371,1.0651529,0.32687458,,,1,0.556371
787,201010240tam,-1,1,7,2010,1,3.0,,0.29248315,,0.20307806,0.54071677,1,0.29248315
788,201012120nor,1,1,14,2010,18,9.5,0.38099632,0.59972155,0.75111496,0.9612521999999999,,1,0.6754182550000001
