,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
854,201210280dal,-1,-1,8,2012,-5,2.5,,0.35392153,,0.30324304,0.25733012,0,0.30483156333333333
855,201212300was,1,1,17,2012,10,3.0,,0.19114053,0.5166960999999999,0.3910985,0.21753824,1,0.32911834249999994
856,201212090cin,-1,-1,14,2012,-1,3.0,,,,0.9041673000000001,,0,0.9041673000000001
857,201210210car,-1,-1,7,2012,-5,3.0,,0.16313088,0.55379236,,,0,0.35846162
858,201210140rav,-1,1,6,2012,2,3.0,,,0.7959156,0.70243025,,1,0.749172925
859,201211110phi,-1,-1,10,2012,-15,3.0,,0.32713732,0.37195322,0.18644829999999998,0.08980924,0,0.24383702000000002
860,201211040atl,1,1,9,2012,6,4.0,,0.6789128000000001,,0.8506060999999999,,1,0.76475945
861,201209050nyg,-1,-1,1,2012,-7,4.0,,0.8511093000000001,,,0.59120256,0,0.7211559300000001
862,201209160sea,1,1,2,2012,20,3.0,0.7827776,0.44284114,,,0.35280165,1,0.52614013
863,201311030was,1,1,9,2013,6,2.0,0.45549220000000007,0.6398838000000001,0.72767115,0.24591711,0.67070854,1,0.5479345600000001
864,201401050cin,-1,-1,18,2013,-17,6.0,,0.37737915,0.72533,0.93444175,,0,0.6790503
865,201309150phi,-1,-1,2,2013,-3,7.5,,0.4989431,0.61830765,0.67490727,,0,0.5973860066666666
866,201311240kan,-1,-1,12,2013,-3,3.5,0.6451454000000001,,0.34910762,,,0,0.4971265100000001
867,201310200jax,-1,-1,7,2013,-18,7.0,0.61622024,,,,,0,0.61622024
868,201311170mia,1,1,11,2013,4,2.5,0.46160337,0.5015684,,,0.32655966,1,0.42991047666666665
869,201312120den,-1,-1,15,2013,-7,9.5,,0.45121384,0.7953212,,,0,0.62326752
870,201401120den,-1,1,19,2013,7,7.5,,,0.61867386,0.6018443,0.8147505,1,0.6784228866666667
871,201310060rai,1,1,5,2013,10,6.5,0.51708287,0.41099882,,0.34616715,,1,0.4247496133333333
872,201410190was,-1,1,7,2014,2,6.0,0.91575146,,0.5508597,,,1,0.7333055799999999
873,201409210cin,1,1,3,2014,26,6.0,0.5348235,,0.9799378000000001,0.63213784,,1,0.7156330466666666
874,201411090rav,1,1,10,2014,14,10.0,,1.0259875,1.0019002000000001,1.0040174000000002,,1,1.0106350333333334
875,201411230phi,1,1,12,2014,19,11.0,0.83232725,,0.9306934000000001,,0.83981717,1,0.8676126066666666
876,201409070kan,-1,-1,1,2014,-16,3.0,,0.47769564,0.6496496999999999,,,0,0.5636726699999999
877,201412180jax,1,1,16,2014,8,4.0,,0.6278224,,0.9502636000000001,0.65117407,1,0.74308669
